Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
D1,2024-08-23,19:30,M'gladbach,Leverkusen,2,3,A,0.0,2.0,A,14.0,25.0,7.0,9.0,11.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,5.25,4.5,1.55,5.0,4.4,1.58,5.0,4.5,1.6,5.33,4.58,1.6,5.0,4.33,1.57,5.39,4.78,1.61,5.5,4.78,1.62,5.16,4.53,1.58,5.7,4.7,1.63,1.44,2.75,1.5,2.71,1.51,2.75,1.47,2.68,1.53,2.86,1.0,1.98,1.92,1.98,1.94,2.01,1.94,1.93,1.92,2.0,1.96,4.75,4.5,1.62,4.75,4.33,1.63,4.75,4.2,1.55,4.94,4.38,1.67,5.0,4.4,1.57,5.13,4.62,1.62,5.6,4.62,1.67,5.09,4.46,1.6,5.4,4.5,1.68,1.44,2.75,1.48,2.79,1.48,2.9,1.45,2.8,1.5,2.96,1.0,1.86,2.04,1.87,2.06,1.96,2.08,1.91,1.96,1.91,2.07
D1,2024-08-24,14:30,Augsburg,Werder Bremen,2,2,D,2.0,1.0,H,10.0,12.0,3.0,6.0,11.0,10.0,4.0,2.0,3.0,1.0,0.0,0.0,2.2,3.6,3.1,2.25,3.5,3.0,2.25,3.6,3.1,2.32,3.55,3.11,2.25,3.5,3.1,2.31,3.8,3.13,2.35,3.8,3.16,2.28,3.56,3.07,2.34,3.7,3.25,1.73,2.1,1.74,2.18,1.77,2.23,1.72,2.15,1.74,2.24,-0.25,1.99,1.91,2.02,1.89,2.02,1.95,1.96,1.9,2.02,1.95,2.45,3.6,2.7,2.45,3.5,2.7,2.38,3.3,2.7,2.57,3.61,2.77,2.45,3.6,2.7,2.51,3.69,2.77,2.57,3.69,3.16,2.46,3.54,2.82,2.6,3.65,2.9,1.67,2.2,1.71,2.26,1.75,2.3,1.69,2.21,1.74,2.28,0.0,1.88,2.05,1.88,2.04,1.88,2.06,1.86,2.03,1.9,2.1
D1,2024-08-24,14:30,Freiburg,Stuttgart,3,1,H,1.0,1.0,D,15.0,9.0,4.0,2.0,7.0,10.0,6.0,3.0,2.0,1.0,0.0,0.0,3.5,3.6,2.05,3.4,3.6,2.05,3.5,3.6,2.05,3.5,3.7,2.09,3.5,3.7,2.0,3.58,3.87,2.1,3.65,3.87,2.11,3.5,3.7,2.06,3.7,3.7,2.16,1.67,2.2,1.71,2.23,1.78,2.27,1.7,2.18,1.75,2.3,0.5,1.83,2.07,1.81,2.09,1.85,2.09,1.81,2.05,1.85,2.16,3.7,3.8,1.91,3.5,3.7,2.0,3.5,3.7,1.9,3.73,3.99,1.96,3.6,3.7,2.0,3.95,3.9,1.92,3.95,3.99,2.11,3.62,3.81,1.98,3.8,4.0,2.04,1.53,2.5,1.56,2.58,1.61,2.62,1.55,2.43,1.59,2.66,0.5,1.95,1.98,1.95,1.97,1.98,2.09,1.87,2.0,1.95,2.04
D1,2024-08-24,14:30,Hoffenheim,Holstein Kiel,3,2,H,2.0,0.0,H,20.0,15.0,8.0,6.0,8.0,14.0,8.0,6.0,2.0,3.0,0.0,1.0,1.65,4.5,4.5,1.65,4.2,4.6,1.62,4.33,5.0,1.64,4.38,5.07,1.65,4.2,4.75,1.69,4.52,4.98,1.69,4.52,5.2,1.65,4.33,4.85,1.67,4.5,5.3,1.53,2.5,1.55,2.56,1.55,2.56,1.53,2.49,,,-1.0,2.08,1.82,2.08,1.84,2.09,1.84,2.05,1.8,2.1,1.86,1.62,4.75,4.5,1.61,4.4,4.8,1.55,4.2,4.75,1.61,4.68,5.05,1.6,4.5,4.8,1.61,4.82,4.99,1.7,4.82,5.1,1.62,4.54,4.87,1.64,4.7,5.4,1.4,3.0,1.45,2.89,1.56,3.0,1.45,2.77,1.47,3.0,-1.0,2.03,1.9,1.99,1.93,2.16,1.95,2.02,1.86,2.0,1.95
D1,2024-08-24,14:30,Mainz,Union Berlin,1,1,D,0.0,0.0,D,15.0,15.0,3.0,4.0,9.0,15.0,8.0,9.0,1.0,3.0,0.0,0.0,2.0,3.4,3.9,2.0,3.3,3.9,2.05,3.3,4.0,2.08,3.24,4.1,2.05,3.2,3.9,2.11,3.37,4.11,2.11,3.4,4.2,2.05,3.3,4.01,2.12,3.4,4.1,2.2,1.67,2.27,1.68,2.3,1.72,2.23,1.68,,,-0.5,2.05,1.85,2.09,1.83,2.09,1.88,2.04,1.83,2.12,1.86,2.05,3.3,3.75,2.05,3.3,3.7,2.0,3.1,3.6,2.1,3.39,3.9,2.05,3.25,3.8,2.1,3.38,3.85,2.15,3.5,3.99,2.08,3.34,3.8,2.18,3.4,3.95,2.07,1.83,2.09,1.83,2.27,1.87,2.07,1.79,2.14,1.85,-0.5,2.1,1.83,2.11,1.83,2.13,1.85,2.07,1.81,2.18,1.84
