date,home,away,actual,predicted,confidence,h_prob,d_prob,a_prob,n_warn,elo_diff,correct,liga
2024-09-22,Bayer Leverkusen,Wolfsburg,home_win,home_win,0.4929,0.4929,0.2768,0.2303,0,266.3,True,Bundesliga
2024-09-27,Borussia Dortmund,Bochum,home_win,home_win,0.5624,0.5624,0.2876,0.15,0,393.3,True,Bundesliga
2024-09-28,Mainz,FC Heidenheim,away_win,draw,0.3976,0.3301,0.3976,0.2723,1,51.9,False,Bundesliga
2024-09-28,Wolfsburg,Stuttgart,draw,draw,0.3987,0.3181,0.3987,0.2832,1,2.8,True,Bundesliga
2024-09-28,Bayern Munich,Bayer Leverkusen,draw,home_win,0.5683,0.5683,0.1971,0.2346,0,128.4,False,Bundesliga
2024-09-28,RB Leipzig,Augsburg,home_win,home_win,0.485,0.485,0.28,0.235,1,130.0,True,Bundesliga
2024-09-29,Hoffenheim,Werder Bremen,away_win,home_win,0.4112,0.4112,0.318,0.2707,1,23.1,False,Bundesliga
2024-10-05,Union Berlin,Borussia Dortmund,home_win,away_win,0.499,0.224,0.2771,0.499,0,-223.1,False,Bundesliga
2024-10-05,Werder Bremen,Freiburg,away_win,home_win,0.4163,0.4163,0.3057,0.2779,1,100.2,False,Bundesliga
2024-10-05,Bochum,Wolfsburg,away_win,away_win,0.3885,0.2703,0.3412,0.3885,1,-82.6,True,Bundesliga
2024-10-05,Bayer Leverkusen,Holstein Kiel,draw,home_win,0.492,0.492,0.2861,0.2219,1,405.3,False,Bundesliga
2024-10-06,FC Heidenheim,RB Leipzig,away_win,draw,0.3673,0.2881,0.3673,0.3447,1,-64.6,False,Bundesliga
2024-10-06,Stuttgart,Hoffenheim,draw,home_win,0.4326,0.4326,0.2666,0.3008,1,86.9,False,Bundesliga
2024-10-19,Freiburg,Augsburg,home_win,home_win,0.4002,0.4002,0.3258,0.274,1,36.6,True,Bundesliga
2024-10-19,Hoffenheim,Bochum,home_win,home_win,0.508,0.508,0.304,0.1881,1,193.0,True,Bundesliga
2024-10-19,Bayern Munich,Stuttgart,home_win,home_win,0.5929,0.5929,0.2126,0.1945,0,297.5,True,Bundesliga
2024-10-19,Mainz,RB Leipzig,away_win,away_win,0.4083,0.3128,0.2789,0.4083,1,-62.6,True,Bundesliga
2024-10-20,Holstein Kiel,Union Berlin,away_win,home_win,0.4073,0.4073,0.336,0.2567,1,-26.6,False,Bundesliga
2024-10-20,Wolfsburg,Werder Bremen,away_win,home_win,0.3721,0.3721,0.3532,0.2747,1,12.7,False,Bundesliga
2024-10-26,Werder Bremen,Bayer Leverkusen,draw,away_win,0.4188,0.307,0.2742,0.4188,1,-129.1,False,Bundesliga
2024-10-26,Stuttgart,Holstein Kiel,home_win,home_win,0.4612,0.4612,0.298,0.2407,1,236.3,True,Bundesliga
2024-10-26,Augsburg,Borussia Dortmund,home_win,away_win,0.459,0.2637,0.2772,0.459,1,-160.2,False,Bundesliga
2024-10-26,RB Leipzig,Freiburg,home_win,home_win,0.4682,0.4682,0.2759,0.2559,1,143.4,True,Bundesliga
2024-10-27,Bochum,Bayern Munich,away_win,away_win,0.5775,0.1661,0.2564,0.5775,0,-377.4,True,Bundesliga
2024-10-27,FC Heidenheim,Hoffenheim,draw,draw,0.425,0.2729,0.425,0.302,1,5.5,True,Bundesliga
2024-11-01,Bayer Leverkusen,Stuttgart,draw,home_win,0.486,0.486,0.2486,0.2654,0,219.1,False,Bundesliga
2024-11-02,Bayern Munich,Union Berlin,home_win,home_win,0.6896,0.6896,0.2074,0.103,0,407.2,True,Bundesliga
2024-11-02,Borussia Dortmund,RB Leipzig,home_win,home_win,0.5009,0.5009,0.2458,0.2534,0,180.2,True,Bundesliga
2024-11-02,Wolfsburg,Augsburg,draw,home_win,0.4271,0.4271,0.3182,0.2547,1,49.6,False,Bundesliga
2024-11-02,Holstein Kiel,FC Heidenheim,home_win,draw,0.4018,0.3272,0.4018,0.2709,1,-54.9,False,Bundesliga
2024-11-03,Freiburg,Mainz,draw,home_win,0.4387,0.4387,0.2933,0.268,1,69.2,False,Bundesliga
2024-11-08,Union Berlin,Freiburg,draw,draw,0.4259,0.2728,0.4259,0.3013,1,0.5,True,Bundesliga
2024-11-09,Werder Bremen,Holstein Kiel,home_win,home_win,0.418,0.418,0.3252,0.2568,1,226.3,True,Bundesliga
2024-11-09,Mainz,Borussia Dortmund,home_win,away_win,0.4804,0.2525,0.2672,0.4804,0,-192.8,False,Bundesliga
2024-11-09,Bochum,Bayer Leverkusen,draw,away_win,0.4893,0.2136,0.2971,0.4893,1,-298.9,False,Bundesliga
2024-11-10,Augsburg,Hoffenheim,draw,draw,0.3733,0.2994,0.3733,0.3273,1,40.1,True,Bundesliga
2024-11-10,FC Heidenheim,Wolfsburg,away_win,draw,0.4398,0.2796,0.4398,0.2805,1,15.9,False,Bundesliga
2024-11-22,Bayern Munich,Augsburg,home_win,home_win,0.6595,0.6595,0.2142,0.1263,0,344.3,True,Bundesliga
2024-11-23,Bayer Leverkusen,FC Heidenheim,home_win,home_win,0.5277,0.5277,0.2902,0.182,0,300.4,True,Bundesliga
2024-11-23,Hoffenheim,RB Leipzig,home_win,home_win,0.3972,0.3972,0.2965,0.3063,1,-20.1,True,Bundesliga
2024-11-23,Borussia Dortmund,Freiburg,home_win,home_win,0.5308,0.5308,0.2636,0.2056,0,273.6,True,Bundesliga
2024-11-23,Stuttgart,Bochum,home_win,home_win,0.5254,0.5254,0.2952,0.1794,0,229.9,True,Bundesliga
2024-11-23,Wolfsburg,Union Berlin,home_win,home_win,0.4763,0.4763,0.3058,0.2179,1,112.5,True,Bundesliga
2024-11-24,Holstein Kiel,Mainz,away_win,home_win,0.4053,0.4053,0.2996,0.2952,1,-56.9,False,Bundesliga
2024-11-30,Augsburg,Bochum,home_win,home_win,0.4313,0.4313,0.3431,0.2256,1,183.1,True,Bundesliga
2024-11-30,RB Leipzig,Wolfsburg,away_win,home_win,0.4318,0.4318,0.2879,0.2803,1,130.4,False,Bundesliga
2024-11-30,Union Berlin,Bayer Leverkusen,away_win,away_win,0.4978,0.2242,0.278,0.4978,0,-228.8,True,Bundesliga
2024-11-30,Werder Bremen,Stuttgart,draw,draw,0.363,0.3285,0.363,0.3085,1,40.0,True,Bundesliga
2024-11-30,Borussia Dortmund,Bayern Munich,draw,away_win,0.4242,0.3407,0.2351,0.4242,1,-34.1,False,Bundesliga
2024-12-01,Mainz,Hoffenheim,home_win,draw,0.3917,0.2716,0.3917,0.3367,1,7.5,False,Bundesliga
2024-12-06,Stuttgart,Union Berlin,home_win,home_win,0.536,0.536,0.2684,0.1956,0,159.7,True,Bundesliga
2024-12-07,Bayern Munich,FC Heidenheim,home_win,home_win,0.6265,0.6265,0.2403,0.1332,0,378.9,True,Bundesliga
2024-12-07,Bochum,Werder Bremen,away_win,away_win,0.3881,0.2729,0.3389,0.3881,1,-119.9,True,Bundesliga
2024-12-07,Holstein Kiel,RB Leipzig,away_win,draw,0.3471,0.3066,0.3471,0.3463,1,-169.5,False,Bundesliga
2024-12-08,Wolfsburg,Mainz,home_win,home_win,0.4604,0.4604,0.2966,0.243,1,82.2,True,Bundesliga
2024-12-08,Hoffenheim,Freiburg,draw,home_win,0.456,0.456,0.2791,0.2648,1,73.3,False,Bundesliga
2024-12-13,Freiburg,Wolfsburg,home_win,draw,0.3902,0.3226,0.3902,0.2872,1,37.1,False,Bundesliga
2024-12-14,Union Berlin,Bochum,away_win,home_win,0.3917,0.3917,0.346,0.2623,1,120.2,False,Bundesliga
2024-12-14,Mainz,Bayern Munich,home_win,away_win,0.5858,0.1872,0.227,0.5858,0,-276.9,False,Bundesliga
2024-12-14,Augsburg,Bayer Leverkusen,away_win,away_win,0.4584,0.2637,0.2779,0.4584,1,-165.9,True,Bundesliga
2024-12-15,FC Heidenheim,Stuttgart,away_win,draw,0.3922,0.2763,0.3922,0.3315,1,-31.4,False,Bundesliga
2024-12-15,Borussia Dortmund,Hoffenheim,draw,home_win,0.4889,0.4889,0.2568,0.2543,0,250.3,False,Bundesliga
